,Text,Author
2513,kill anyone?” I ask.,SC
2736,"“I don’t know, sir.”",JR
3751,"District 3, to watch over the supplies.",SC
4093,"He crept out of the dormitory, down the stairs, across the common room, and climbed through",JR
4774,"Charlie another owl, and this could be our only chance to get rid of Norbert. We’ll have to risk",JR
2686,I can go a long time. I know that from my days in the woods. But I will need water. That was,SC
4845,You should have seen Prim’s reaction when we walked in with that goat. Remember this is a,SC
1005,We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft,JR
5114,"in pain close by. Harry could see a clearing ahead, through the tangled branches of an ancient",JR
1928,to get onto the platform.”,JR
5828,"That brings me back to Cato. But while I think I had a sense of Foxface, who she was and how",SC
4520,Harry leaned forward. Quirrell was mumbling something. Snape interrupted him.,JR
3349,"keep the Bludgers away from their team,” Harry reeled off.",JR
1850,"stroking the silken sheets, watching the sun set over the artificial candy Capitol.",SC
4870,“You’re a little cooler though.”,SC
2802,Snap! The sound of a breaking branch wakes me. How long have I been asleep? Four hours?,SC
4097,"Where should he go? He stopped, his heart racing, and thought. And then it came to him. The",JR
5344,"such a long time. Since my father died and I stopped trusting my mother, no one else’s arms",SC
830,woman stared.,JR
4692,It sneezed. A couple of sparks flew out of its snout.,JR
2306,"The Gamemaker who fell in the punch bowl shouts out, “She’s not!”",SC
5587,"there’s one thing being a victor doesn’t guarantee, it’s your children’s safety. My kids’ names",SC
1340,"It was a tiny, grubby looking pub. If Hagrid hadn’t pointed it out, Harry wouldn’t have noticed",JR
3887,There’s no alternative. I’m going to have to get in closer and see if I can’t discover what,SC
1114,"“So they gave you District Twelve,” I say. Newcomers generally end up with us, the least",SC
6561,"incident with the door, I can’t shake the feeling that I’m being watched constantly.",SC
5175,"nothing to lose, and everything to gain, would commit such a crime. The blood of a unicorn",JR
4110,"often, so it tricks my stomach into thinking eating time is over. Sort of.",SC
42,"But on the edge of town, drills were driven out of his mind by something else. As he sat in the",JR
4498,"Hermione in the distance, jumping up and down, Ron cheering through a heavy nosebleed.",JR
5398,where Snape went.”,JR
1079,"school, not jus’ then, anyway.",JR
3452,"Peering around it, however, they saw not Percy but Snape. He crossed the corridor and",JR
2117,"of the Capitol, both now and then. For her, justice must finally be happening. At least my",SC
2704,Potions lessons took place down in one of the dungeons. It was colder here than up in the,JR
6477,"Portia’s put him in long black pants. No sandals, either, but a pair of sturdy black boots he",SC
3043,"you,” said Harry coolly. There was of course nothing at all little about Crabbe and Goyle, but",JR
4641,"And he’s right. If I want to keep Peeta alive, I’ve got to give the audience something more to",SC
3756,“What weapons does he have?” I ask.,SC
5629,there to replenish our water. I check the snares I set days ago and come up empty. Not,SC
1878,"Peeta jumps in. “I don’t know that it mattered. By the time I showed up, no one even bothered",SC
443,"Where are you? I would cry out in my mind. Where have you gone? Of course, there was never",SC
3033,"won since Charlie left, but this year’s team is going to be brilliant. You must be good, Harry,",JR
1723,So the next three days pass with Peeta and I going quietly from station to station. We do pick,SC
3145,trophy room.,JR
1483,we’ll keep the rest safe for yeh.” He turned to Griphook. “Vault seven hundred and thirteen,JR
3426,"suddenly on the golden plates, as it had at the start of term banquet.",JR
4957,"but it’s undetectable from the out« side. That’s good, because I’ll need to share that sleeping",SC
2983,Professor McGonagall stopped outside a classroom. She opened the door and poked her head,JR
4517,"“…d-don’t know why you wanted t-t-to meet here of all p-places, Severus…”",JR
4838,"The Goat Man was mad, but he still wanted that goal off his hands. It took us half an hour to",SC
3343,"many sponsors have contributed to buy this one tiny pot. To me, it is priceless.",SC
5238,"They had been given special, new quills for the exams, which had been bewitched with an",JR
5787,"He’s followed my instructions all day and I’m sure if things were reversed, he wouldn’t make",SC
5272,"“I’m not ill,” said Harry. “I think it’s a warning… it means danger’s coming…”",JR
3313,saw off the branch at the trunk and send the whole thing down. The serrated portion of my,SC
2663,"The class everyone had really been looking forward to was Defense Against the Dark Arts, but",JR
6422,life.,SC
1771,"right, we’ll take you to King’s Cross. We’re going up to London tomorrow anyway, or I",JR
4559,"drying, I examine the contents of the first-aid kit. It’s pretty basic stuff. Bandages, fever pills,",SC
3691,the crowd. His heart skipped. He felt braver.,JR
4355,gather and fight. Sometimes there is a feast and sometimes there’s nothing but a loaf of stale,SC
5374,"Harry flushed. They turned to go outside, but Snape called them back.",JR
165,He found what he was looking for in his inside pocket. It seemed to be a silver cigarette,JR
5314,"“No! Just don’t, Katniss!” His grip tightens, hurting my hand, and there’s real anger in his",SC
1624,just occurred to him and looked instead at the thousands of narrow boxes piled neatly right up,JR
2661,hold anything because I can’t stand leaving with virtually nothing.,SC
1459,off.,JR
2809,I have to bite my lip not to scream every foul name I know at the fire starter. What are they,SC
2335,“She have another fellow?” asks Caesar.,SC
5110,So Harry set off into the heart of the forest with Malfoy and Fang. They walked for nearly half,JR
3228,"Now, if you don’t mind, I’m going to bed.”",JR
4269,fall asleep at once.,SC
115,out.,SC
4684,“Clove? Which one is that?” I ask.,SC
2819,I lay smoldering in my bag for the next couple of hours really thinking that if I can get out of,SC
6548,empty. Even the city streets far below are deserted after the celebration last night. I go back,SC
3439,"something, and finally yank it free. I’ve just encircled the sheath with my arms when I hear",SC
2675,wizards. There was so much to learn that even people like Ron didn’t have much of a head,JR
705,"“I’m not having one in the house, Petunia! Didn’t we swear when we took him in we’d stamp",JR
5164,shoot.,SC
4676,“Shut up!” Harry whispered.,JR
308,"Then he reads the list of past District 12 victors. In seventy-four years, we have had exactly",SC
2056,disappeared.,JR
4856,"“I’m disgusted,” said Professor McGonagall. “Four students out of bed in one night! I’ve never",JR
5907,"almost blinding him with pain, yet he could see Quirrell howling in agony.",JR
1613,he just shrugs. “People will help you in the arena. They’ll be tripping over each other to,SC
3068,"face cut with branches that materialize from the gray haze without warning, because I know I",SC
1902,“A minute—”,JR
5139,"overwhelmed by Rue, and the pain in my head, and my fear of Thresh, and the moaning of the",SC
33,"touch. Even so, I always take a moment to listen carefully for the hum that means the fence is",SC
4333,"from yesterday. I keep seeing Rue speared, my arrow piercing the boy’s neck. I don’t know",SC
866,"was done, we made her eat a bowl.",SC
3077,looming up out of the darkness—this was his big chance to beat Malfoy face to face. He,JR
2446,"Effie takes both of us by the hand and, with actual tears in her eyes, wishes us well. Thanks us",SC
145,relief that their children have been spared for another year. But at least two families will pull,SC
1693,“Curious… curious…”,JR
4153,"There he was, reflected in it, white and scared looking, and there, reflected behind him, were",JR
2168,"“Well, you are . . . around Haymitch,” says Cinna with a grin. “I don’t find you so. The prep",SC
901,A giant of a man was standing in the doorway. His face was almost completely hidden by a,JR
965,cowering against the wall.,JR
5682,"climbed up in a tree and acted as a lookout while I hunted?” I say, trying to make it sound like",SC
5039,"me, but careful, now.”",JR
5902,"with all his might, and to his surprise, Quirrell let go of him. The pain in his head lessened—",JR
781,"more often, not. We examine the faces of the kids who will be our competition. A few stand",SC
4215,“What?”,JR
5008,of his voice.,JR
1202,"Harry scrambled to his feet, so happy he felt as though a large balloon was swelling inside",JR
4238,Good and safe.,SC
977,"“But yeh must know about yet mom and dad,” he said. “I mean, they’re famous.You’re",JR
455,looking presentable. Because if it had become known that my mother could no longer care for,SC
4188,and they slide down my cheeks. But I have to finish the song for her.,SC
1199,"He sat up and Hagrid’s heavy coat fell off him. The hut was full of sunlight, the storm was",JR
613,"it—it might be sick.” Then he ran, before Dudley could work out what he’d said.",JR
4336,concen—” He caught sight of Harry’s face. “What’s the matter with you? You look terrible.”,JR
984,"“Stop!” he commanded. “Stop right there, sit! I forbid you to tell the boy anything!”",JR
3429,"Dumbledore’s chair, slumped against the table, and gasped, “Troll—in the dungeons—thought",JR
900,landed flat on the floor.,JR
1003,It’s not much of a deal but still a giant step forward from ten minutes ago when we had no,SC
2346,conceal the emotions starting to boil up inside of me.,SC
1087,"Hagrid suddenly pulled out a very dirty, spotted handkerchief and blew his nose with a sound",JR
2939,"Certainly Peeta has thrown a wrench into our star-crossed lover dynamic. Or has he? Maybe,",SC
4201,"his life. I cut Rue’s pack from her back as well, knowing she’d want me to have it but leave",SC
644,"“Get the mail, Dudley,” said Uncle Vernon from behind his paper.",JR
607,"care, too. You’re so fast and brave. Maybe you can win.”",SC
1357,"striking features, the porcelain white skin. But even as I utter the words, I feel my insides",SC
41,knew and he taught me some before he was blown to bits in a mine explosion. There was,SC
4019,three-hour lead on them. Still it’s a long time before I risk moving.,SC
1845,"I should have stayed and apologized. Or laughed, like it was a big joke. Then maybe I would",SC
1666,"phoenix tail feathers, and the heartstrings of dragons. No two Ollivander wands are the same,",JR
3553,"like a shadow, you have to give her that. How else could she have followed me? The words",SC
587,he and I made a pact about this a year or so ago — and will probably not ask for,SC
1122,"“Good question, Harry. Disappeared. Vanished. Same night he tried ter kill you. Makes yeh",JR
5790,"romance we had sustained in the cave has disappeared out in the open, under the hot sun,",SC
4427,"Ron and Hermione, meanwhile, had found a place in the stands next to Neville, who couldn’t",JR
2886,“She might have. Seemed pretty simpleminded to me. Every time I think about her spinning,SC
6077,"“Don’t go to sleep,” I tell him. I’m not sure if this is exactly medical protocol, but I’m terrified",SC
4005,Something fluid and silvery gray went slithering to the floor where it lay in gleaming folds.,JR
4629,"Impulsively, I lean forward and kiss him, stopping his words. This is probably overdue anyway",SC
4246,Ron wasn’t going to stop him.,JR
5512,"“Looks like a harp,” said Ron. “Snape must have left it there.”",JR
5266,"look more cheerful, Harry, we’ve got a week before we find out how badly we’ve done, there’s",JR
2795,"Eleven dead, but none from District 12. I try to work out who is left. Five Career Tributes.",SC
696,"Mason, from District 7 a few years back. She seemed like such a sniveling, cowardly fool that",SC
2985,Haymitch! He could send me water! Press a button and have it delivered to me in a silver,SC
5166,"desperately. If I had to bet, Cato headed out after Thresh, not me. Still I don’t slow down",SC
3640,“How did you get those?” she asks.,SC
6193,"“Not where I’m going, I promise you,” said Harry.",JR
1412,"A low, soft hooting came from a dark shop with a sign saying Eeylops Owl Emporium—Tawny,",JR
5655,making me jump.,SC
2029,"agreement. We’re tributes. But the boy who risked a beating to give me bread, the one who",SC
3725,“The boy from District One. Both tributes from Two. The boy from Three. Thresh and me. And,SC
5755,"“Don’t apologize. It just means we’re one step closer to home, right?” I ask.",SC
2463,down maybe. Or act it out. But perhaps that would only result in punishment for her.,SC
1336,"for coughs, and when will I get a chance to try it again? I take a sip of the tart, dry liquid and",SC
4664,"it’s more than warm, it’s overly hot because the bag is reflecting back his fever. I check his",SC
5874,straightaway or wait until the water’s tapped out?”,SC
2392,"When Neville Longbottom, the boy who kept losing his toad, was called, he fell over on his",JR
4848,"work on it, grinding up herbs and coaxing brews down the animal’s throat.",SC
5524,“What can you see?” Hermione said anxiously.,JR
6001,"scar, no visible sign… to have been loved so deeply, even though the person who loved us is",JR
5946,"“But sit, the Stone—”",JR
5157,foretold! It is not our business to run around like donkeys after stray humans in our forest!”,JR
795,"cut to the anthem again, and the pro-gram ends.",SC
676,"“Katniss, it’s just hunting. You’re the best hunter I know,” says Gale.",SC
3,1. THE BOY WHO LIVED,JR
5099,"“I don’t care if Malfoy has, but if something’s got Neville… it’s our fault he’s here in the first",JR
388,"About once a week, Uncle Vernon looked over the top of his newspaper and shouted that",JR
215,"anything. It doesn’t make things fair. It doesn’t fill our stomachs. In fact, it scares off the",SC
269,"The space gets tighter, more claustrophobic as people arrive. The square’s quite large, but not",SC
5953,you.”,JR
1171,terrified look at Hagrid and slammed the door behind them.,JR
6172,"“No, you can’t kill yourself,” I say. I’m on my knees, desperately plastering the bandage back",SC
918,"“I demand that you leave at once, sir!” he said. “You are breaking and entering!”",JR
835,"drove them into the middle of a forest, got out, looked around, shook his head, got back in the",JR
2902,like the one Gale and I heard when the redheaded Avox girl was caught. High above the dying,SC
1477,had it from him faster than blinking. How often had they complained how much Harry cost,JR
3991,The boy from District 3 throws stones into the ruins and must have declared all the mines,SC
957,"I said, “I won’t unless I bring it home.” That shut her up.",SC
1600,"least stand a chance. If I get jumped, I’m dead!” I can hear my voice rising in anger.",SC
3700,"finishes she snuggles up against me and falls asleep. Nor do I have any misgivings about her,",SC
4045,"registered at all means I must be regaining my hearing. Yes, my right ear can hear again,",SC
1345,"greens with tomatoes the size of peas, rare roast beef sliced as thin as paper, noodles in a",SC
3072,"machine-made, Gamemaker-made. Things have been too quiet today. No deaths, perhaps no",SC
3305,"the little plastic sticks Muggle children blew bubbles through, except that they were fifty feet",JR
3783,"knows to knock off,” she continues. “They can be dangerous though, if you get too near their",SC
6335,"— although my portions are still being strictly controlled. Because when I ask for seconds, I’m",SC
1053,"Venia makes what’s supposed to be a sympathetic face. “Good news, though. This is the last",SC
2910,WHAM—a thud and a nasty crack and Neville lay facedown on the grass in a heap. His,JR
3185,"My leg is in need of attention, but I still can’t look at it. What if it’s as bad as the man’s and I",SC
6495,"Capitol, plus it means we won’t have as much time to linger over the deaths.",SC
2727,as he was; Hermione’s hand had shot into the air.,JR
5631,"They were standing on the edge of a huge chessboard, behind the black chessmen, which",JR
3977,thing he saw was a small pile of packages at the foot of his bed.,JR
5607,"of keys. They grabbed and snatched, but the bewitched keys darted and dived so quickly it",JR
3216,"“Never mind that—pig snout, pig snout,” panted Harry, and the portrait swung forward. They",JR
357,There’s some confusion on the stage. District 12 hasn’t had a volunteer in decades and the,SC
887,"Dudley up, just to annoy him—three… two… one…",JR
456,"us, the district would have taken us away from her and placed us in the community home. I’d",SC
333,in a clear voice. And it’s not me.,SC
1696,"“I remember every wand I’ve ever sold, Mr. Potter. Every single wand. It so happens that the",JR
6340,"“Oh, they did a full body polish on you,” says Flavius enviously. “Not a flaw left on your skin.”",SC
4336,"Along with other statistics they report to help people place their bets, every tribute has a list",SC
327,"It’s time for the drawing. Effie Trinket says as she always does, “Ladies first!” and crosses to",SC
1880,“Fred? George? Are you there?”,JR
4080,"of Rue, not on the ground or in the trees. This is odd. By now she should have returned, as it’s",SC
4462,"Malfoy, Crabbe, and Goyle howled with laughter, but Ron, still not daring to take his eyes from",JR
1820,"Suddenly I am furious, that with my life on the line, they don’t even have the decency to pay",SC
2011,and lanes flick past.,JR
913,"Harry looked up into the fierce, wild, shadowy face and saw that the beetle eyes were crinkled",JR
4407,"treating werewolf bites, Harry and Ron were still discussing what they’d do with a Sorcerer’s",JR
1150,"Harry looked back at Hagrid, smiling, and saw that Hagrid was positively beaming at him.",JR
5609,"“Hey, Effie, watch this!” says Peeta. He tosses his fork over his shoulder and literally licks his",SC
4871,"The sound of the trumpets startles me. I’m on my feet and at the mouth of the cave in a flash,",SC
2690,"recognize, some completely foreign to me. At one point, I hear a noise and pull my knife,",SC
6196,"It was Ginny Weasley, Ron’s younger sister, but she wasn’t pointing at Ron.",JR
1272,an’ down the country.”,JR
170,"We rarely talk, which suits us both just fine.",SC
4058,the pyramid.,SC
364,“Lovely!” says Effie Trinket. “But I believe there’s a small matter of introducing the reaping,SC
4767,involve Gale and me out hunting and somehow I don’t think these will play well with either,SC
2025,Haymitch shrugs. “Peeta has asked to be coached separately.”,SC
1515,I kick off my shoes and climb under the covers in my clothes. The shivering hasn’t stopped.,SC
1205,items for the Capitol. You can hear the roar of the crowd. They are always favorites.,SC
5762,flames.,JR
834,"Uncle Vernon didn’t seem to hear her. Exactly what he was looking for, none of them knew. He",JR
2673,she’ll be drawn back into the Cornucopia before all the good stuff is gone. A grin crosses my,SC
2066,"Wizards cards, but Harry couldn’t keep his eyes off them. Soon he had not only Dumbledore",JR
4485,row in front.,JR
1158,James Potter’s son goin’ ter Hogwarts! Yer mad. His name’s been down ever since he was,JR
2658,"confused at the direction my brain wants to take and then I lunge forward, scoop up the sheet",SC
699,Peeta Mellark because he’s a baker’s son. All those years of having enough to eat and hauling,SC
1016,Capitol and the eastern districts. It is almost impossible to enter from the east except through,SC
6208,"“Guess I’d be dead by now if I did,” I say. I can see his lips moving in reply, but I can’t hear",SC
6468,"knows or not, Peeta is, as usual, playing the crowd exactly right.",SC
5829,down many times. He has had to be very hard on me.” Quirrell shivered suddenly. “He does,JR
5129,"rapid rise and fall of her chest, the low moan escaping her lips.",SC
1762,"“I don’t know,” said Harry, realizing this for the first time. He pulled the ticket Hagrid had",JR
3335,"“I’m going to show you what the Bludgers do,” Wood said. “These two are the Bludgers.”",JR
1764,"“I just take the train from platform nine and three-quarters at eleven o’clock,” he read.",JR
319,"goes on a bit about what an honor it is to be here, although everyone knows she’s just aching",SC
167,"mayor’s daughter, you’d expect her to be a snob, but she’s all right. She just keeps to herself.",SC
37,the light. Mr. Dursley blinked and stared at the cat. It stared back. As Mr. Dursley drove,JR
5358,"“Potter, I know what I’m talking about,” she said shortly. She bent down and gathered up the",JR
3641,“In my pack. They’ve been useless so far. They don’t block the sun and they make it harder to,SC
1699,have students. You get the feeling that the knot-tying class is not the Hunger games hot spot.,SC
4538,to our house. Go and hunt while my mother and Prim attend to what I have neither the skill,SC
2542,"catacombs under the arena itself. A hovercraft appears out of thin air, just like the one did in",SC
3899,continues until she has reached the bulk of the supplies.,SC
1127,his side came back ter ours. Some of ’em came outta kinda trances. Don’ reckon they could’ve,JR
3759,“Jordan!” growled Professor McGonagall.,JR
354,frying pan being put on the stove. He rolled onto his back and tried to remember the dream,JR
4927,"“Maybe Snape’s found out how to get past him without asking Hagrid,” said Ron, looking up",JR
2025,"“Hungry, are you?”",JR
4006,Ron gasped.,JR
1168,"dancing on the spot with his hands clasped over his fat bottom, howling in pain. When he",JR
2975,He’d be packing his bags in ten minutes. What would the Dursleys say when he turned up on,JR
3745,opposite of Prim for whom adventures are an ordeal.,SC
2265,most since you arrived here?” asks Caesar.,SC
4687,girl from Five. How do you feel?”,SC
1606,"“She said, ‘She’s a survivor, that one.’ She is,” says Peeta.",SC
3016,"“I want to hear you’re training hard, Potter, or I may change my mind about punishing you.”",JR
2374,brothers catcalling.,JR
3583,"“Have you gotten anything yet?” I ask. She shakes her head. “You will, though. Watch. The",SC
1394,costumes.,SC
709,"“Where’s my letter?” said Harry, the moment Uncle Vernon had squeezed through the door.",JR
6680,"drops my hand and I take a step, as if to catch my balance.",SC
3407,knee is closer to an orange than a plum in size. A foul-smelling green liquid oozes from the,SC
3189,“Say ‘please.’”,JR
5363,mostly to keep warm. The most exciting thing either of us does is nap.,SC
1909,them.” An image pops into my mind. “One man tripped backward into a bowl of punch.”,SC
2978,word to him. She wrenched open doors and marched along corridors with Harry trotting,JR
5514,"He put Hagrid’s flute to his lips and blew. It wasn’t really a tune, but from the first note the",JR
784,"hauntingly, a twelve-year-old girl from District 11. She has dark brown skin and eyes, but",SC
161,"from his name to his boots was unwelcome. He was busy rummaging in his cloak, looking for",JR
5437,.”,SC
104,to leave her home for the Seam. I try to remember that when all I can see is the woman who,SC
2524,"Peeta smiles at me, sad and mocking. “Okay. Thanks for the tip, sweetheart.”",SC
2833,"made this alliance. It’ll be the remaining Career Tributes from Districts 1, 2, and 4. Two boys",SC
3000,"“Absolutely,” said Professor McGonagall crisply. “The boy’s a natural. I’ve never seen anything",JR
3054,13,SC
2299,"“It’s all right,” Caesar reassures the crowd. “She’s safe with me. So, how about that training",SC
6534,"Peeta and I are whisked to the president’s mansion for the Victory Banquet, where we have",SC
3382,"Perhaps it was because he was now so busy, what with Quidditch practice three evenings a",JR
4351,"For the most part, the only communication the tributes get from outside the arena is the",SC
4018,"as safe as I can be, here at the crime scene. They probably think the bomber has a two- or",SC
4467,"“Ron!” said Hermione suddenly, “Harry—”",JR
2522,“Ahem—just a few more words now that we are all fed and watered. I have a few start of term,JR
2036,"reallyfrogs, are they?” He was starting to feel that nothing would surprise him.",JR
2251,don’t count me out.”,SC
2085,a winning fashion. But I can’t. I’m too angry with Haymitch for what he said and that I even,SC
1624,I glower at the roll sure he meant to insult me.,SC
5101,"which will probably not be an extended period of time, but I will stare her down, I will not cry",SC
5849,"He clapped his hands once, and the ropes binding Harry fell off. Harry got slowly to his feet.",JR
3849,"“I’m tellin’ yeh, yer wrong!” said Hagrid hotly. “I don’ know why Harry’s broom acted like",JR
1688,"head, brought it swishing down through the dusty air and a stream of red and gold sparks",JR
2345,"are trueAnd unafraid of toil;Or yet in wise old Ravenclaw,If you’ve a ready mind,Where those",JR
4940,That’ll take a lot of explaining.”,JR
412,Dudley!” He ruffled Dudley’s hair.,JR
841,"“It’s Monday,” he told his mother. “The Great Humberto’s on tonight. I want to stay",JR
2738,"journey with nothing to drink. And then, even if I reach it, it's sure to be heavily guarded by",SC
1615,"“No more than you,” I say.",SC
3542,it out with its own club. They didn’t have time to come and fetch anyone. It was about to finish,JR
5872,"“You’re right. They’re driving us to the lake,” I say. Where there’s no cover. Where they’re",SC
2617,"“Ladies and gentlemen, let the Seventy-fourth Hunger Games begin!”",SC
4136,Rue’s four-note tune coming out of a mockingjay’s mouth. The one that means she’s all right.,SC
4274,"songs I’ve never heard in a clear, melodic voice. On and on. Through the night. There’s a",SC
6659,quite frame it in my mind. I only know that I feel like I’ve been lying to someone who trusts,SC
4489,shoulder and looked up into Dumbledore’s smiling face.,JR
660,bow. That’s your best chance.”,SC
2042,Harry unwrapped his Chocolate Frog and picked up the card. It showed a man’s face. He,JR
3058,"bag. I shove in the belt, hoist the bag over my shoulder, and flee.",SC
5015,"way an’ Draco, Neville, an’ Fang’ll go the other. Now, if any of us finds the unicorn, we’ll send",JR
1527,“Play Quidditch at all?”,JR
6374,out his motivation.,SC
979,"“What? My—my mom and dad weren’t famous, were they?”",JR
5397,"For a moment, I’m almost foolishly happy and then confusion sweeps over me. Because we’re",SC
3706,"Wood and the Gryffindors take the Quaffle—that’s Chaser Katie Bell of Gryffindor there, nice",JR
3523,"crashes and the troll’s roars. A moment later, Professor McGonagall had come bursting into",JR
3017,Then she suddenly smiled.,JR
2813,work of Dark wizards or witches unknown.,JR
4481,I pull out my water bottle and give him a drink. “Did Cato cut you?” I ask.,SC
3916,one of the round metal plates that lifted the tributes into the arena. The ground around it has,SC
3899,"“I hate them both,” said Harry, “Malfoy and Snape.”",JR
4048,his glasses askew.,JR
4878,"Cornucopia at dawn. Think hard about refusing to show up. For some of you, this will be your",SC
710,"in a region known is Appalachia. Even hundreds of years ago, they mined coal here. Which is",SC
2619,"Gryffindors in the right direction, but Peeves the Poltergeist was worth two locked doors and",JR
119,I don’t know how to respond. The idea is so preposterous.,SC
5121,Harry had taken one step toward it when a slithering sound made him freeze where he stood.,JR
3266,"gone, leaving me to feel the full potency of my burns. I scoot down to a fork in the tree and",SC
4623,"having no effect at all. Suddenly, out of nowhere, I’m scared he’s going to die.",SC
1252,flourish.,SC
3383,"has found me and the others will be honing in. Back, forth, back, forth. And just as the knife",SC
535,"The snake jerked its head toward Uncle Vernon and Dudley, then raised its eyes to the ceiling.",JR
543,"Boa Constrictor, Brazil.",JR
4736,"“We’ll see,” I say. As I take the pot down to the stream, I’m struck by how brutally hot it is. I",SC
4441,"“Dumbledore?”he said, dashing to the door to make sure. Fred was right. There was no",JR
1432,"large ledgers, weighing coins in brass scales, examining precious stones through eyeglasses.",JR
2343,"in Gryffindor,Where dwell the brave at heart,Their daring, nerve, and chivalrySet Gryffindors",JR
5653,"“Really?” he says. “Sorry, I didn’t know.”",SC
5295,"“Maybe there is a bread bush in that field,” I say. “Maybe that’s why Thresh looks better fed",SC
4175,haven’t sung much since he died. Except when Prim is very sick. Then I sing her the same,SC
1846,away—he closed his eyes ready for the crash—,JR
2984,inside.,JR
6701,"the window, I can see the platform’s thick with cameras. Everyone will be eagerly watching",SC
5076,said simply.,JR
636,you. It’ll look just like everyone else’s when I’ve finished.”,JR
1619,"helped me! No one except Peeta. Once I had something to barter with, things changed. I’m a",SC
781,nails and boarded up the cracks around the front and back doors so no one could go out. He,JR
4979,"crossbow, and a quiver of arrows hung over his shoulder.",JR
3748,information I can out of Rue about the Careers’ base. She’s only been in to spy on them,SC
3169,It was Peeves. He caught sight of them and gave a squeal of delight.,JR
6049,beast as Cato takes on the mutt pack. I can’t understand how he can be surviving until I,SC
3026,excitement of the afternoon. “Wood told me.”,JR
5955,“Climb!” I yell. Peeta starts up hampered by not only the leg but the knife in his hand. I shoot,SC
2899,But he hasn’t told them yet. Is he saving that information because he knows it’s all that keeps,SC
2320,"time. Best of luck, Katniss Everdeen, tribute from District Twelve.”",SC
3952,between lessons it wasn’t surprising they’d found nothing. What they really needed was a nice,JR
5622,"weapons he once had are long gone, and he slips it into his belt. My last seven arrows — of",SC
1438,"“Got it here somewhere,” said Hagrid, and he started emptying his pockets onto the counter,",JR
4111,"He had to start somewhere. Setting the lamp down carefully on the floor, he looked along the",JR
794,"the back of the head. Next moment, thirty or forty letters came pelting out of the fireplace like",JR
1602,Knuts a scoop).,JR
2101,"bushy brown hair, and rather large front teeth.",JR
6424,"out here Prim, my mother, Gale, the people of District 12, everyone I care about back home",SC
657,"of wood smoke, even the sound of his heart beating I know from quiet moments on a hunt —",SC
1040,turning teacups into rats. I was the only one who saw her for what she was—a freak! But for,JR
3226,heart.,SC
3642,"see,” I say with a shrug.",SC
5112,because the trees were so thick. Harry thought the blood seemed to be getting thicker. There,JR
82,Mr. Dursley realized that the man was wearing a violet cloak. He didn’t seem at all upset at,JR
5210,“Snape wants the stone for Voldemort… and Voldemort’s waiting in the forest… and all this,JR
2457,“And after that?” I ask.,SC
3873,"death yet. At any rate, he’s in no shape to raid us,” says Cato.",SC
1497,"The idea that I might ever have been discussed, around the dinner table, at the bakery fire,",SC
331,inside his blankets without waking up. One small hand closed on the letter beside him and he,JR
2238,"set the nervous ones at ease, laughs at lame jokes, and can turn a weak response into a",SC
3680,"“Oh,” says Rue thoughtfully. “I didn’t think that was an act.”",SC
1039,"to that—that school—and came home every vacation with her pockets full of frog spawn,",JR
2720,dunderheads as I usually have to teach.”,JR
995,"“Stand over here. Both of you,” says Haymitch, nodding to the middle of the room. We obey",SC
3858,"boy from District 3. One thing’s for sure, destroying those supplies is not going to be as",SC
4722,but the swelling has increased and the tight shiny skin is inflamed. Then I see the red streaks,SC
3783,"Suddenly, people were pointing up at Harry all over the stands. His broom had started to roll",JR
3529,"“What on earth were you thinking of?” said Professor McGonagall, with cold fury in her voice.",JR
5180,vaguely aware that my head aches. Possibly I have the flu and this is why I’m allowed to stay,SC
1449,vaults. Griphook!”,JR
5946,"Peeta’s waving me up the horn, “Go, Katniss! Go!”",SC
5700,berries that covers it. But where is he?,SC
4160,anyone’s probably. The spearhead is buried up to the shaft in her stomach. I crouch before,SC
5656,“Can you take your boots off?” I suggest.,SC
1420,They had reached a snowy white building that towered over the other little shops. Standing,JR
2695,I want to hear all about your first week. Send us an answer back with Hedwig.,JR
5747,“Hermione!”,JR
1118,"Pulling on my robe, I follow him through a door into a sitting room. Two red couches face off",SC
3399,"It was very difficult. Harry and Seamus swished and flicked, but the feather they were",JR
1083,"They dart out of the room. It’s hard to hate my prep team. They’re such total idiots. And yet,",SC
800,floor.,JR
3963,"eating anything they could spear on a toasting fork—bread, English muffins, marshmallows—",JR
6323,"lobby of the Training Center. The hospital then is far underground, even beneath the gym",SC
3381,could have played for England if he hadn’t gone off chasing dragons.”,JR
3758,“So—after that obvious and disgusting bit of cheating—”,JR
4006,could have been easily lost in the subsequent explosions. The shattered remains of the thief,SC
4932,“Go to Dumbledore. That’s what we should have done ages ago. If we try anything ourselves,JR
6642,The train begins moving and we’re plunged into night until we clear the tunnel and I take my,SC
3500,"venom had caused me to imagine. But if he did, and my instincts tell me he did, what for? Is",SC
1290,People stared more than ever on the train. Hagrid took up two seats and sat knitting what,JR
2706,"until the killers have dispersed. On the opening day, they don’t even fire the cannons until the",SC
4293,"been quite truthful. But then, he thought, as he shoved Scabbers off his pillow, it had been",JR
2327,whole run where they take turns sniffing each other that brings down the house. I’m coming,SC
3701,"as I take no particular precautions. If she’d wanted me dead, all she would have had to do was",SC
4266,“How did you know—?”,JR
2336,"thing—noticing that everyone in the hall was now staring at the hat, he stared at it, too. For a",JR
